model,task,split,n_params,auc_test
svm,3493,3,410,0.68875
svm,3493,4,409,0.63875
svm,3493,5,407,0.69625
svm,3493,6,406,0.608058608058608
svm,3493,7,402,0.633699633699634
svm,3493,8,404,0.758241758241758
svm,3493,9,408,0.667887667887668
svm,3494,1,272,0.948914431673052
svm,3494,10,247,1
svm,3494,2,253,1
svm,3494,3,262,1
svm,3494,4,249,1
svm,3494,5,273,1
svm,3494,6,276,1
svm,3494,7,253,1
svm,3494,8,238,0.95159151193634
svm,3494,9,249,0.942970822281167
svm,37,1,402,0.9
svm,37,10,396,0.786153846153846
svm,37,2,395,0.751851851851852
svm,37,3,398,0.851111111111111
svm,37,4,390,0.791111111111111
svm,37,5,390,0.824444444444444
svm,37,6,394,0.852592592592593
svm,37,7,391,0.83037037037037
svm,37,8,400,0.89037037037037
svm,37,9,400,0.8
svm,3891,1,1564,0.983419723551302
svm,3891,10,1557,0.973195187165775
